time_s	DCDT_Right_Slab_A1	DCDT_Right_Slab_A2	DCDT_Right_Slab_A3	DCDT_Right_Slab_B1	DCDT_Right_Slab_B3	DCDT_Left_Slab_B1	DCDT_Left_Slab_B2_Bot	DCDT_Left_Slab_B3	DCDT_Left_Slab_C1	DCDT_Left_Slab_C2	DCDT_Left_Slab_C3	DCDT_Beam_B2_Top	soil_plate_pressure_ksi	agg_plate_pressure_ksi	soil_pore_water_pressure_ksi	agg_pore_water_pressure_ksi	SG_2E_top	SG_3E_top	SG_4E_top	SG_4E_bot	SG_5E_top	SG_5E_bot	SG_6E_top	SG_7E_top
196.562500	0.000000	0.000388	0.000259	0.000129	0.000000	-0.000129	0.000517	0.000000	0.000000	0.000129	-0.000129	0.000129	0.000135	0.000000	0.000058	0.000134	-0.000002	-0.000003	-0.000004	0.000002	-0.000001	0.000003	-0.000001	-0.000002
196.625000	0.000388	0.000259	0.000000	-0.000259	-0.000129	-0.000129	0.000388	0.000129	0.000000	-0.000129	-0.000129	0.000129	0.000135	0.000000	0.000058	0.000134	-0.000002	-0.000004	-0.000002	0.000001	-0.000002	0.000003	-0.000002	-0.000000
196.687500	0.000000	0.000129	0.000129	-0.000129	-0.000129	-0.000129	0.000517	0.000000	0.000000	0.000000	0.000129	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000003	-0.000004	-0.000004	0.000000	-0.000002	0.000004	-0.000000	-0.000001
196.750000	0.000129	0.000388	0.000000	-0.000129	-0.000388	0.000000	0.000517	0.000259	-0.000259	-0.000129	-0.000129	0.000129	0.000135	0.000000	0.000058	0.000134	-0.000002	-0.000005	-0.000004	0.000000	-0.000001	0.000004	-0.000002	-0.000001
196.812500	0.000129	0.000388	0.000000	-0.000259	-0.000259	0.000000	0.000517	0.000129	0.000129	0.000000	-0.000129	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000003	-0.000004	-0.000005	0.000001	-0.000002	0.000003	-0.000005	-0.000001
196.875000	-0.000129	0.000259	0.000000	0.000000	0.000000	-0.000129	0.000517	0.000000	0.000000	-0.000129	0.000129	0.000388	0.000135	0.000000	0.000058	0.000134	-0.000003	-0.000004	-0.000004	0.000001	-0.000001	0.000003	-0.000002	-0.000002
196.937500	0.000129	0.000388	0.000129	-0.000259	-0.000259	-0.000259	0.000517	0.000000	0.000129	0.000000	-0.000129	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000002	-0.000002	-0.000003	0.000002	-0.000002	0.000004	-0.000000	-0.000002
197.000000	0.000000	0.000129	0.000000	-0.000129	-0.000129	-0.000129	0.000647	0.000129	0.000000	-0.000129	0.000129	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000002	-0.000004	-0.000002	0.000001	-0.000002	0.000003	0.000000	-0.000001
197.062500	0.000259	0.000388	0.000259	-0.000259	-0.000129	-0.000129	0.000517	0.000129	0.000129	-0.000129	-0.000129	0.000000	0.000135	0.000000	0.000058	0.000134	-0.000001	-0.000003	-0.000003	0.000002	-0.000002	0.000002	0.000000	-0.000002
197.125000	0.000000	0.000388	0.000129	0.000129	0.000000	-0.000129	0.000388	0.000000	-0.000259	-0.000129	0.000129	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000001	-0.000002	-0.000003	0.000003	-0.000003	0.000002	0.000001	-0.000001
197.187500	0.000129	0.000388	-0.000129	0.000000	-0.000129	-0.000259	0.000388	0.000000	-0.000129	0.000000	0.000000	0.000259	0.000135	0.000000	0.000058	0.000134	0.000000	-0.000002	-0.000003	0.000003	-0.000002	0.000001	0.000001	-0.000001
197.250000	0.000259	0.000517	0.000259	0.000000	-0.000259	-0.000259	0.000517	0.000000	0.000129	-0.000129	0.000000	0.000000	0.000135	0.000000	0.000058	0.000134	-0.000001	-0.000003	-0.000003	0.000002	-0.000003	0.000002	0.000000	-0.000001
197.312500	0.000129	0.000259	0.000129	-0.000129	-0.000129	-0.000129	0.000517	0.000259	0.000000	-0.000129	-0.000259	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000000	-0.000002	-0.000004	0.000003	-0.000002	0.000001	-0.000000	-0.000001
197.375000	0.000129	0.000388	0.000259	0.000000	-0.000259	-0.000259	0.000517	0.000000	0.000259	0.000000	0.000129	0.000000	0.000135	0.000000	0.000058	0.000134	-0.000002	-0.000003	-0.000005	0.000002	-0.000002	0.000002	-0.000000	-0.000003
197.437500	0.000129	0.000129	0.000129	-0.000259	-0.000259	-0.000259	0.000517	0.000259	-0.000129	-0.000129	0.000000	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000002	-0.000003	-0.000003	0.000001	-0.000001	0.000004	-0.000001	-0.000000
197.500000	0.000000	0.000129	0.000129	-0.000259	-0.000259	-0.000259	0.000647	0.000129	0.000388	0.000000	-0.000129	0.000000	0.000135	0.000000	0.000058	0.000134	-0.000002	-0.000003	-0.000005	0.000001	0.000000	0.000004	-0.000002	-0.000001
197.562500	0.000259	0.000388	0.000259	-0.000129	-0.000259	-0.000259	0.000517	0.000129	0.000129	0.000388	-0.000129	0.000388	0.000135	0.000000	0.000058	0.000134	-0.000002	-0.000004	-0.000005	0.000002	0.000001	0.000003	-0.000001	-0.000000
197.625000	0.000000	0.000388	0.000000	-0.000129	0.000000	0.000000	0.000647	0.000000	-0.000129	-0.000129	0.000129	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000002	-0.000005	-0.000004	0.000000	-0.000001	0.000003	-0.000002	-0.000001
197.687500	0.000129	0.000517	0.000259	-0.000129	-0.000259	-0.000259	0.000517	0.000259	0.000129	0.000129	0.000000	0.000129	0.000135	0.000000	0.000058	0.000134	-0.000003	-0.000005	-0.000005	0.000000	-0.000000	0.000002	-0.000004	-0.000002
197.750000	0.000129	0.000388	0.000000	-0.000129	-0.000129	-0.000129	0.000517	0.000129	0.000000	-0.000129	0.000000	0.000388	0.000135	0.000000	0.000058	0.000134	-0.000001	-0.000003	-0.000003	0.000002	-0.000000	0.000004	-0.000002	-0.000000
197.812500	0.000000	0.000388	0.000000	-0.000259	-0.000259	-0.000259	0.000517	0.000129	-0.000129	-0.000129	-0.000129	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000001	-0.000004	-0.000003	0.000002	-0.000002	0.000003	-0.000002	-0.000001
197.875000	0.000129	0.000388	0.000388	0.000000	-0.000259	-0.000129	0.000388	0.000129	0.000259	0.000129	-0.000129	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000001	-0.000004	-0.000003	0.000003	-0.000001	0.000001	-0.000002	-0.000003
197.937500	0.000000	0.000388	0.000129	0.000000	-0.000129	-0.000259	0.000517	0.000000	0.000129	0.000388	-0.000129	0.000259	0.000135	0.000000	0.000058	0.000134	0.000000	-0.000003	-0.000002	0.000002	-0.000002	0.000002	0.000001	-0.000003
198.000000	-0.000129	0.000388	0.000259	0.000000	-0.000259	-0.000388	0.000388	0.000129	0.000000	0.000129	0.000000	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000000	-0.000002	-0.000003	0.000003	-0.000003	0.000002	0.000002	-0.000001
198.062500	0.000129	0.000259	0.000129	0.000000	0.000000	-0.000259	0.000647	0.000000	-0.000129	0.000000	0.000129	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000000	-0.000003	-0.000001	0.000003	-0.000003	0.000002	0.000001	-0.000001
198.125000	0.000000	0.000388	0.000000	0.000000	-0.000129	-0.000129	0.000517	0.000259	0.000129	0.000000	0.000129	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000001	-0.000002	-0.000003	0.000003	-0.000002	0.000001	0.000000	-0.000001
198.187500	0.000129	0.000388	0.000259	-0.000129	-0.000259	-0.000129	0.000647	0.000129	0.000259	0.000000	-0.000129	0.000129	0.000135	0.000000	0.000058	0.000134	-0.000001	-0.000003	-0.000003	0.000001	-0.000002	0.000001	0.000000	-0.000002
198.250000	0.000000	0.000517	0.000388	0.000129	-0.000129	-0.000129	0.000647	0.000000	0.000259	0.000129	0.000000	0.000000	0.000135	0.000000	0.000058	0.000134	-0.000001	-0.000004	-0.000004	0.000002	-0.000002	0.000003	-0.000001	-0.000002
198.312500	0.000129	0.000129	0.000129	-0.000259	-0.000129	0.000000	0.000647	-0.000129	-0.000129	-0.000129	-0.000129	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000003	-0.000003	-0.000004	0.000001	-0.000001	0.000003	-0.000002	-0.000001
198.375000	0.000129	0.000388	0.000129	0.000000	-0.000259	-0.000259	0.000388	0.000129	0.000129	0.000000	-0.000129	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000002	-0.000004	-0.000005	0.000000	-0.000000	0.000003	-0.000003	-0.000000
198.437500	-0.000259	0.000259	0.000259	0.000000	-0.000129	-0.000129	0.000388	0.000000	0.000129	0.000000	-0.000129	0.000129	0.000135	0.000000	0.000058	0.000134	-0.000001	-0.000004	-0.000005	0.000000	-0.000001	0.000002	-0.000002	-0.000001
198.500000	-0.000129	0.000129	0.000000	-0.000259	0.000000	0.000000	0.000517	0.000129	0.000000	-0.000129	0.000000	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000001	-0.000004	-0.000005	0.000000	-0.000000	0.000004	-0.000004	-0.000002
198.562500	0.000129	0.000517	0.000259	-0.000129	-0.000388	-0.000259	0.000517	0.000129	0.000129	0.000259	-0.000129	0.000129	0.000135	0.000000	0.000058	0.000134	-0.000000	-0.000004	-0.000003	0.000001	-0.000002	0.000003	-0.000002	-0.000002
198.625000	0.000129	0.000388	0.000000	-0.000259	-0.000129	-0.000129	0.000517	0.000000	0.000000	-0.000129	-0.000129	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000003	-0.000004	-0.000003	0.000001	-0.000002	0.000003	-0.000001	-0.000002
198.687500	0.000129	0.000388	0.000129	-0.000129	-0.000259	-0.000388	0.000647	0.000000	0.000129	0.000000	-0.000129	0.000129	0.000135	0.000000	0.000058	0.000134	-0.000000	-0.000002	-0.000004	0.000001	-0.000002	0.000001	-0.000000	-0.000001
198.750000	0.000129	0.000259	0.000000	-0.000129	0.000000	-0.000129	0.000388	0.000129	-0.000129	0.000000	0.000000	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000000	-0.000001	-0.000001	0.000002	-0.000001	0.000002	0.000000	-0.000001
198.812500	0.000000	0.000259	0.000000	-0.000129	0.000000	0.000000	0.000776	0.000129	-0.000129	-0.000129	0.000000	0.000259	0.000135	0.000000	0.000058	0.000134	-0.000000	-0.000003	-0.000002	0.000002	-0.000000	0.000002	0.000001	-0.000003
